description,vendor_name,created_at,invoice_date,due_date,payment_date,amount,settled,outstanding
A5 binders,John Gonzalez,22/11/2016 16:01,22/11/2016 00:00,22/12/2016 00:00,30/11/2016 08:22,241.98,241.98,0
Accommodation for 2 adults ,Christina Wilson,8/12/14 16:51,8/12/14 0:00,31/12/2014 00:00,9/1/15 15:49,5233.98,5233.98,0
Admin fee,Susan Cordova,23/02/2014 11:01,1/2/14 0:00,3/3/14 0:00,23/05/2014 11:09,2951.41,2951.41,0
Admin fee,Karen Edwards,18/11/2015 12:47,18/11/2015 00:00,18/12/2015 00:00,2/12/15 13:23,5581.98,5581.98,0
Admin fees,Kellie Le,21/06/2017 14:45,20/03/2017 00:00,19/04/2017 00:00,21/06/2017 14:45,283.98,283.98,0
Adobe,Brian Mason,23/05/2017 17:08,23/05/2017 00:00,22/06/2017 00:00,28/06/2017 12:38,642.02,642.02,0
Adobe credit,Alexis Parks,3/3/15 15:50,31/12/2014 00:00,30/01/2015 00:00,24/03/2015 16:04,1241.98,1241.98,0
Amazon,Timothy Bridges,12/12/13 21:42,12/12/13 0:00,11/1/14 0:00,14/01/2014 14:33,157.98,157.98,0
Amazon,Timothy Bridges,12/11/13 9:26,12/11/13 0:00,12/12/13 0:00,14/01/2014 14:31,181.98,181.98,0
Amazon,Timothy Bridges,17/12/2013 07:27,17/12/2013 00:00,16/01/2014 00:00,14/01/2014 15:28,222.78,222.78,0
Amazon,Timothy Bridges,15/12/2013 18:47,15/12/2013 00:00,14/01/2014 00:00,14/01/2014 15:27,232.98,232.98,0
Amazon,Timothy Bridges,7/12/13 11:50,7/12/13 0:00,6/1/14 0:00,14/01/2014 14:32,241.98,241.98,0
Amazon,Timothy Bridges,12/11/13 8:47,12/11/13 0:00,12/12/13 0:00,14/01/2014 14:30,301.98,301.98,0
Amazon ,Brenda Johnson,13/01/2014 21:19,13/01/2014 00:00,12/2/14 0:00,16/03/2014 06:05,217.98,217.98,0
Amazon UK,Kurt Patterson Jr.,21/05/2014 16:10,21/05/2014 00:00,4/6/14 0:00,28/05/2014 08:42,13.98,13.98,0
Amazon UK,Lauren Sutton,3/7/14 15:46,3/7/14 0:00,17/07/2014 00:00,7/7/14 9:24,13.98,13.98,0
Amazon UK,Michael Diaz,22/05/2014 09:59,22/05/2014 00:00,5/6/14 0:00,28/05/2014 08:39,13.98,13.98,0
Amazon UK,Michael Hernandez,13/06/2014 06:43,3/4/14 0:00,17/04/2014 00:00,13/06/2014 06:45,13.98,13.98,0
Amazon UK,Michael Miles,19/08/2016 23:54,19/08/2016 00:00,3/9/16 0:00,23/11/2016 13:53,13.98,13.98,0
Amazon UK,Micheal Wallace,24/08/2015 06:36,14/06/2015 00:00,28/06/2015 00:00,3/9/15 8:53,13.98,13.98,0
Amazon UK,Micheal Wallace,3/6/15 14:37,13/04/2015 00:00,28/04/2015 00:00,3/6/15 14:40,13.98,13.98,0
Amazon UK,Mr. Michael Gonzalez,19/06/2014 15:59,19/06/2014 00:00,3/7/14 0:00,26/06/2014 08:31,13.98,13.98,0
Amazon UK,Omar Curtis,3/6/15 14:37,11/4/15 0:00,25/04/2015 00:00,3/6/15 14:38,13.98,13.98,0
Amazon UK,Philip Curry,13/07/2015 17:03,13/07/2015 00:00,12/8/15 0:00,27/07/2015 20:36,13.98,13.98,0
Amazon UK,Robert Camacho,21/09/2015 16:39,18/09/2015 00:00,18/10/2015 00:00,21/09/2015 16:40,13.98,13.98,0
Amazon UK,Roger Farrell,22/04/2016 23:53,23/04/2016 00:00,7/5/16 0:00,24/05/2016 15:53,13.98,13.98,0
Amazon UK,Roger Ramos,26/05/2014 14:46,26/05/2014 00:00,9/6/14 0:00,2/6/14 10:37,13.98,13.98,0
Amazon UK,Scott Mccoy,17/03/2016 01:53,17/03/2016 00:00,31/03/2016 00:00,8/6/16 19:13,13.98,13.98,0
Amazon UK,Steven Williams,13/06/2014 15:25,13/06/2014 00:00,27/06/2014 00:00,19/06/2014 09:09,13.98,13.98,0
Amazon UK,Tami Brewer,19/06/2014 11:59,19/06/2014 00:00,3/7/14 0:00,25/07/2014 15:53,13.98,13.98,0
Amazon UK,Laurie Foster,10/2/16 1:53,10/2/16 0:00,23/02/2016 00:00,15/02/2016 07:53,14.09,14.09,0
Amazon UK,Laurie Foster,18/11/2014 08:53,18/11/2014 00:00,1/12/14 0:00,21/11/2014 12:53,14.16,14.16,0
Amazon UK,Maria Mckenzie,18/03/2016 01:53,18/03/2016 00:00,1/4/16 0:00,19/05/2016 15:53,14.17,14.17,0
Amazon UK,Maria Mckenzie,29/01/2016 01:53,29/01/2016 00:00,12/2/16 0:00,25/02/2016 09:53,14.18,14.18,0
Amazon UK,Adam Hudson,1/6/15 14:02,28/05/2015 00:00,27/06/2015 00:00,29/06/2015 13:29,14.45,14.45,0
Amazon UK,Brenda Johnson,13/09/2013 16:56,13/09/2013 00:00,13/10/2013 00:00,15/10/2013 07:23,14.48,14.48,0
Amazon UK,Kimberly White,30/06/2012 00:26,26/06/2012 00:00,3/7/12 0:00,3/9/12 7:54,14.48,14.48,0
Amazon UK,Pamela Brown,19/04/2014 14:13,14/04/2014 00:00,14/05/2014 00:00,2/7/14 10:53,14.48,14.48,0
Amazon UK,Philip Curry,9/7/15 16:08,9/7/15 0:00,8/8/15 0:00,27/07/2015 20:36,14.48,14.48,0
Amazon UK,Sara White,27/09/2013 18:29,27/09/2013 00:00,27/10/2013 00:00,11/10/13 8:20,14.48,14.48,0
Amazon UK,Sara White,4/9/13 6:40,4/9/13 0:00,18/09/2013 00:00,11/10/13 8:18,14.48,14.48,0
Amazon UK,Shelby Rodriguez,30/07/2015 12:41,29/07/2015 00:00,28/08/2015 00:00,16/10/2015 13:58,14.72,14.72,0
Amazon UK,Hunter Hutchinson,7/4/15 10:25,7/4/15 0:00,7/5/15 0:00,4/6/15 9:40,14.74,14.74,0
Amazon UK,Maria Mckenzie,1/10/15 1:53,1/10/15 0:00,15/10/2015 00:00,2/10/15 11:53,14.81,14.81,0
Amazon UK ,Brenda Johnson,10/10/13 16:50,10/10/13 0:00,9/11/13 0:00,24/10/2013 06:02,61.98,61.98,0
Amazon UK ,Timothy Bridges,6/12/13 16:53,6/12/13 0:00,5/1/14 0:00,14/01/2014 14:31,121.98,121.98,0
Annual Fee,Jennifer Lin,9/1/14 10:26,9/1/14 0:00,28/02/2014 00:00,3/3/14 9:27,9.54,9.54,0
Annual Fee,Maria Mckenzie,14/03/2014 08:33,18/12/2013 00:00,31/12/2013 00:00,14/03/2014 08:52,9.6,9.6,0
Annual Fee,Erin Jones,4/5/17 10:41,30/04/2017 00:00,19/05/2017 00:00,12/6/17 9:54,9.81,9.81,0
Annual Fee,Mckenzie Floyd,1/9/14 18:07,29/08/2014 00:00,3/9/14 0:00,19/09/2014 11:57,9.97,9.97,0
Annual Fee,Kimberly Anderson,25/08/2014 17:01,19/08/2014 00:00,18/09/2014 00:00,25/08/2014 17:01,9.98,9.98,0
Annual Fee,Rodney Maxwell,13/10/2016 10:59,30/09/2016 00:00,30/10/2016 00:00,18/10/2016 13:30,10.06,10.06,0
Annual Fee,Diane Higgins,23/06/2015 14:42,15/06/2015 00:00,13/07/2015 00:00,12/8/15 15:29,10.14,10.14,0
Annual Fee,Larry Turner,2/8/14 8:54,31/07/2014 00:00,5/8/14 0:00,11/9/14 15:34,10.37,10.37,0
Annual Fee,Mary Boone,30/03/2017 10:29,27/03/2017 00:00,26/04/2017 00:00,18/04/2017 10:47,10.47,10.47,0
Annual Fee,Kimberly Bishop,16/05/2017 09:37,6/5/17 0:00,5/6/17 0:00,5/6/17 16:49,10.48,10.48,0
Annual Fee,Philip Curry,29/08/2017 08:37,26/08/2017 00:00,25/09/2017 00:00,19/09/2017 15:29,10.48,10.48,0
Annual Fee,Dustin Brandt,3/11/14 13:48,3/11/14 0:00,3/12/14 0:00,5/11/14 16:41,10.74,10.74,0
Annual Fee,Mary Boone,16/06/2016 10:21,9/6/16 0:00,9/7/16 0:00,24/06/2016 07:50,10.74,10.74,0
Annual Fee,Philip Curry,2/4/15 16:24,2/4/15 0:00,2/5/15 0:00,9/4/15 17:00,10.74,10.74,0
Annual Fee,Sandra Cole,12/6/15 9:53,12/6/15 0:00,12/7/15 0:00,2/7/15 18:33,10.74,10.74,0
Annual Fee,Kimberly Brewer,26/11/2015 12:43,11/11/15 0:00,11/12/15 0:00,2/12/15 18:45,10.8,10.8,0
Annual Fee,Nathan Rocha,25/03/2015 15:57,24/03/2015 00:00,23/04/2015 00:00,29/05/2015 13:58,10.93,10.93,0
Annual Fee,Shane Martinez,14/03/2014 08:04,7/1/14 0:00,20/01/2014 00:00,14/03/2014 08:51,10.93,10.93,0
Annual Fee,Wesley Snyder,27/07/2015 12:23,24/07/2015 00:00,23/08/2015 00:00,7/9/15 11:25,10.93,10.93,0
Annual Fee,Kathryn Lee,3/3/15 9:11,24/02/2015 00:00,26/03/2015 00:00,9/3/15 15:01,10.98,10.98,0
Annual Fee,Victor Roy,11/5/15 15:09,8/5/15 0:00,7/6/15 0:00,6/7/15 10:17,10.98,10.98,0
Annual Fee,Cheryl Sutton,14/11/2014 09:24,31/10/2014 00:00,15/11/2014 00:00,15/01/2015 08:07,11.2,11.2,0
Annual Fee,Diane Higgins,29/04/2015 12:56,23/04/2015 00:00,21/05/2015 00:00,2/6/15 21:00,11.34,11.34,0
Annual Fee,Antonio Wilson,5/4/14 9:52,5/4/14 0:00,5/5/14 0:00,9/5/14 14:09,11.36,11.36,0
Annual Fee,Hunter Hutchinson,27/04/2015 10:26,27/04/2015 00:00,27/05/2015 00:00,4/6/15 9:40,11.36,11.36,0
Annual Fee,Philip Curry,5/5/15 9:51,5/5/15 0:00,4/6/15 0:00,7/5/15 2:59,11.36,11.36,0
Annual Fee,Michael Jones,3/11/16 10:46,3/11/16 0:00,10/11/16 0:00,6/2/17 12:52,11.43,11.43,0
Annual Fee,Brandon Moss,2/2/17 12:55,2/2/17 0:00,17/02/2017 00:00,5/2/17 23:24,11.55,11.55,0
Annual Fee,Gregory Short,28/07/2014 09:31,25/07/2014 00:00,24/08/2014 00:00,26/09/2014 12:58,11.62,11.62,0
Annual Fee,Christopher West,8/4/14 16:22,28/01/2014 00:00,27/02/2014 00:00,8/4/14 16:24,11.72,11.72,0
Annual Fee,Jennifer Garcia,8/4/14 15:44,8/1/14 0:00,7/2/14 0:00,8/4/14 15:47,11.72,11.72,0
Annual Fee,Julie Norris,8/4/14 18:37,20/02/2014 00:00,22/03/2014 00:00,8/4/14 18:39,11.72,11.72,0
Annual Fee,Cameron Garcia,16/02/2015 09:36,13/02/2015 00:00,15/03/2015 00:00,10/4/15 10:02,11.77,11.77,0
Annual Fee,Shane Martinez,14/03/2014 08:03,4/2/14 0:00,17/02/2014 00:00,14/03/2014 08:50,11.95,11.95,0
Annual Fee,Aaron Hoffman,2/4/15 11:38,2/4/15 0:00,2/5/15 0:00,3/4/15 13:57,11.98,11.98,0
Annual Fee,Aaron Hoffman,26/11/2015 12:38,30/11/2015 00:00,30/12/2015 00:00,2/12/15 18:48,11.98,11.98,0
Annual Fee,Christina Harris,14/08/2013 21:20,14/07/2013 00:00,13/08/2013 00:00,7/9/13 11:36,11.98,11.98,0
Annual Fee,Jorge Keller,5/6/15 8:19,5/6/15 0:00,5/7/15 0:00,10/6/15 18:16,11.98,11.98,0
Annual Fee,Kelly Jones,28/04/2014 17:06,28/04/2014 00:00,12/5/14 0:00,29/04/2014 16:49,11.98,11.98,0
Annual Fee,Kimberly White,9/7/11 10:42,10/5/11 0:00,24/05/2011 00:00,11/7/11 10:07,11.98,11.98,0
Annual Fee,Kyle Nicholson,28/01/2015 10:45,28/01/2015 00:00,27/02/2015 00:00,4/2/15 17:41,11.98,11.98,0
Annual Fee,Kyle Nicholson,1/10/15 13:00,30/09/2015 00:00,30/10/2015 00:00,3/10/15 13:06,11.98,11.98,0
Annual Fee,Rachel Serrano,5/1/15 14:32,5/1/15 0:00,4/2/15 0:00,10/1/15 14:48,11.98,11.98,0
Annual Fee,Diane Higgins,25/03/2015 17:08,19/03/2015 00:00,16/04/2015 00:00,28/05/2015 16:55,12.06,12.06,0
Annual Fee,Alan Wood,1/8/14 14:19,28/07/2014 00:00,2/8/14 0:00,11/9/14 15:15,12.22,12.22,0
Annual fee,Timothy Bridges,7/4/14 14:32,7/4/14 0:00,7/5/14 0:00,26/04/2014 01:24,376.38,376.38,0
Annual Fee,Timothy Bridges,29/03/2014 11:21,29/03/2014 00:00,28/04/2014 00:00,26/04/2014 01:24,488.3,488.3,0
Annual fee,Timothy Bridges,27/03/2014 17:52,27/03/2014 00:00,26/04/2014 00:00,26/04/2014 01:23,682.98,682.98,0
Annual fee,Timothy Bridges,11/1/14 13:31,11/1/14 0:00,10/2/14 0:00,26/04/2014 01:28,14560.07,1201.98,13358.09
Annual hosting,Kelly Coleman,20/09/2017 10:33,20/09/2017 00:00,20/10/2017 00:00,18/10/2017 13:23,799.98,799.98,0
Annual subscription,Nicole Gomez,22/06/2016 14:05,20/09/2016 00:00,20/10/2016 00:00,5/10/16 12:30,173.98,173.98,0
Annual subscription,Douglas Crawford,28/04/2015 09:01,28/04/2015 00:00,12/5/15 0:00,29/04/2015 15:06,211.98,211.98,0
Annual subscription,Matthew Merritt,15/12/2014 16:06,1/10/14 0:00,31/10/2014 00:00,7/1/15 15:28,613.98,613.98,0
Apr mileage,Ann Ball,23/02/2014 11:02,1/2/14 0:00,3/3/14 0:00,14/04/2014 17:22,710.55,710.55,0
April bill,Kelly Coleman,10/2/16 14:33,10/2/16 0:00,11/3/16 0:00,27/04/2016 14:20,896.12,896.12,0
April bill,Timothy Hart,1/3/16 11:41,1/3/16 0:00,31/03/2016 00:00,6/4/16 15:00,3601.98,3601.98,0
April miles,Susan Cordova,1/7/14 8:39,1/7/14 0:00,31/07/2014 00:00,17/10/2014 14:35,2697.69,2697.69,0
April rent,Zachary Thompson,5/1/14 15:09,29/11/2013 00:00,29/12/2013 00:00,1/2/14 17:01,14001.98,14001.98,0
April subscription,Amy Best,4/9/14 13:25,4/9/14 0:00,4/10/14 0:00,24/11/2014 14:57,633.6,543.98,89.62
Artwork,Diana Snyder,17/03/2016 16:36,17/03/2016 00:00,16/04/2016 00:00,20/04/2016 13:50,346.98,346.98,0
August mileage,Teresa Castillo,2/9/15 14:40,31/08/2015 00:00,30/09/2015 00:00,23/09/2015 12:22,5281.98,1001.98,4280
August phone bill,Susan Cordova,7/11/14 9:30,31/10/2014 00:00,30/11/2014 00:00,24/11/2014 12:00,1968.26,1968.26,0
August subscription,Kelly Coleman,18/06/2016 07:56,18/06/2016 00:00,18/07/2016 00:00,6/7/16 12:14,1746.3,1746.3,0
AX bill,David Palmer,31/01/2014 15:07,31/01/2014 00:00,2/3/14 0:00,9/4/14 10:17,4.98,4.98,0
AX bill,Kyle Nicholson,5/11/15 11:01,29/10/2015 00:00,28/11/2015 00:00,2/12/15 19:06,4.98,4.98,0
AX bill,John Simpson,24/07/2017 21:40,24/07/2017 00:00,7/8/17 0:00,23/10/2017 12:46,5.14,5.14,0
AX bill,Diane Higgins,27/02/2015 14:58,10/2/15 0:00,10/3/15 0:00,25/03/2015 15:24,5.34,5.34,0
AX bill,Derek Smith,2/5/14 13:32,2/5/14 0:00,1/6/14 0:00,8/7/14 17:42,5.58,5.58,0
AX bill,William Rodriguez,8/8/17 11:20,8/8/17 0:00,7/9/17 0:00,21/09/2017 08:03,5.93,5.93,0
AX bill,Brenda Barrera,5/7/17 8:37,30/06/2017 00:00,21/07/2017 00:00,21/07/2017 08:16,6.01,6.01,0
AX bill,Anthony Chavez,18/02/2016 11:45,12/2/16 0:00,13/03/2016 00:00,27/02/2016 14:40,6.36,6.36,0
AX bill,Philip Curry,27/04/2015 10:28,27/04/2015 00:00,27/05/2015 00:00,7/5/15 2:59,6.36,6.36,0
AX bill,Erin Jones,3/7/17 10:53,30/06/2017 00:00,21/07/2017 00:00,27/07/2017 13:48,6.71,6.71,0
AX bill,Megan Bernard,12/8/14 15:40,11/8/14 0:00,16/08/2014 00:00,18/09/2014 15:42,6.77,6.77,0
AX bill,Michael Griffin,16/07/2014 09:44,15/07/2014 00:00,20/07/2014 00:00,11/9/14 13:26,6.97,6.97,0
AX bill,Dana Sullivan,2/8/14 7:50,29/07/2014 00:00,3/8/14 0:00,11/9/14 15:18,7.07,7.07,0
AX bill,Sharon Herrera,2/8/14 7:58,29/07/2014 00:00,3/8/14 0:00,11/9/14 15:20,7.07,7.07,0
AX bill,Rodney Gomez,10/7/14 12:14,10/7/14 0:00,24/07/2014 00:00,10/8/14 18:41,7.11,7.11,0
AX bill,Caleb Lyons,5/8/14 12:06,2/8/14 0:00,7/8/14 0:00,19/09/2014 10:59,7.17,7.17,0
AX bill,Corey Simmons,22/07/2014 15:05,21/07/2014 00:00,26/07/2014 00:00,11/9/14 14:25,7.17,7.17,0
AX bill,Lauren Roth,9/8/14 14:50,5/8/14 0:00,10/8/14 0:00,19/09/2014 10:44,7.17,7.17,0
AX bill,Anthony Chavez,22/06/2015 09:49,22/06/2015 00:00,22/07/2015 00:00,1/7/15 17:45,7.38,7.38,0
AX bill,Anthony Chavez,23/03/2015 09:54,23/03/2015 00:00,22/04/2015 00:00,27/04/2015 18:45,7.38,7.38,0
AX bill,Christy Freeman,29/10/2014 15:16,29/10/2014 00:00,28/11/2014 00:00,4/11/14 17:36,7.38,7.38,0
AX bill,Ariel Bell,26/05/2016 11:32,19/05/2016 00:00,18/06/2016 00:00,15/09/2016 08:22,7.47,7.47,0
AX bill,Anthony Chavez,13/07/2017 09:51,6/7/17 0:00,5/8/17 0:00,4/8/17 16:04,7.48,7.48,0
Ball pens,Timothy Hart,2/11/17 10:08,24/10/2017 00:00,23/11/2017 00:00,2/11/17 10:08,169.98,169.98,0
Bank charge refund,Alexis Parks,16/03/2015 10:31,28/02/2015 00:00,30/03/2015 00:00,24/03/2015 16:04,2041.98,92.63,1949.35
Bank Charges,Eddie Frazier,31/03/2014 23:24,31/03/2014 00:00,1/4/14 0:00,7/4/14 23:01,33.84,33.84,0
Bank Charges,Adam Hudson,18/09/2015 12:34,17/09/2015 00:00,17/10/2015 00:00,30/10/2015 11:43,33.93,33.93,0
Bank Charges,Pamela Brown,14/05/2014 18:12,12/5/14 0:00,11/6/14 0:00,25/07/2014 15:22,33.98,33.98,0
Bank Charges,Rodney Maxwell,15/11/2016 11:20,14/11/2016 00:00,14/12/2016 00:00,15/11/2016 19:38,33.98,33.98,0
Bank Charges,Jacob Barnes,17/01/2017 14:49,17/01/2017 00:00,16/02/2017 00:00,28/04/2017 15:16,34.02,34.02,0
Bank Charges,Nathan Rocha,4/2/14 15:03,7/1/14 0:00,6/2/14 0:00,7/4/14 15:23,34.05,34.05,0
Bank Charges,Nathan Rocha,19/06/2014 14:22,17/06/2014 00:00,17/07/2014 00:00,1/9/14 11:53,34.06,34.06,0
Bank Charges,Daniel Williams,26/02/2014 14:02,21/02/2014 00:00,7/3/14 0:00,2/5/14 15:19,34.14,34.14,0
Bank Charges,Christopher Young,31/07/2017 08:37,1/8/17 0:00,19/09/2017 00:00,22/08/2017 15:22,34.2,34.2,0
Bank Charges,Andrea Hanson,3/12/13 17:42,27/09/2013 00:00,27/10/2013 00:00,16/12/2013 19:48,34.38,34.38,0
Bank Charges,Sandra Alvarado,9/4/15 8:32,9/4/15 0:00,23/04/2015 00:00,15/04/2015 08:38,34.38,34.38,0
Bank Charges,Monique Rodriguez,26/03/2015 14:22,20/03/2015 00:00,19/04/2015 00:00,24/06/2015 19:09,34.45,34.45,0
Bank Charges,Eileen Wright,9/11/16 8:19,9/11/16 0:00,9/12/16 0:00,29/12/2016 16:38,34.48,34.48,0
Bank Charges,Philip Curry,25/05/2017 09:07,22/05/2017 00:00,21/06/2017 00:00,15/06/2017 15:02,34.48,34.48,0
Bank Charges,Thomas Dominguez,8/6/15 7:57,7/6/15 0:00,12/6/15 0:00,28/06/2015 11:10,34.48,34.48,0
Bank Charges,Nathan Rocha,16/04/2015 13:06,14/04/2015 00:00,14/05/2015 00:00,5/6/15 13:32,34.5,34.5,0
Bank Charges,Nathan Rocha,27/10/2014 09:58,24/10/2014 00:00,23/11/2014 00:00,22/12/2014 16:40,34.58,34.58,0
Bank Charges,Peter Sosa,18/02/2015 13:55,17/02/2015 00:00,19/03/2015 00:00,27/03/2015 11:19,34.66,34.66,0
Bank Charges,Vicki Ortiz,21/09/2017 12:03,21/09/2017 00:00,21/10/2017 00:00,6/11/17 16:00,34.84,34.84,0
Bank Charges,William Lee,17/10/2014 10:53,17/10/2014 00:00,16/11/2014 00:00,16/01/2015 10:06,34.86,34.86,0
Bank Charges,Joseph Hamilton,14/04/2015 14:19,13/04/2015 00:00,13/05/2015 00:00,6/7/15 10:01,34.9,34.9,0
Bank Charges,Adam Hudson,7/9/15 12:23,3/9/15 0:00,3/10/15 0:00,30/10/2015 11:43,34.93,34.93,0
Bank Charges,Gregory Rowe,6/1/17 15:05,6/1/17 0:00,13/01/2017 00:00,9/1/17 12:02,34.98,34.98,0
Bank charges,Nicole Gomez,22/06/2016 14:05,20/08/2016 00:00,19/09/2016 00:00,2/10/16 12:34,173.98,173.98,0
Bank Charges,Amy Butler,12/5/17 7:40,10/5/17 0:00,9/6/17 0:00,26/05/2017 07:52,137803.84,137803.84,0
Bank charges ,Jessica Ramsey,30/07/2015 09:35,30/07/2015 00:00,29/08/2015 00:00,28/09/2015 09:18,271.98,271.98,0
Bank charges - annual fee,Jessica Ramsey,30/07/2015 09:32,30/07/2015 00:00,29/08/2015 00:00,28/09/2015 09:18,5329.98,5329.98,0
Bank charges 10.12.15 to 09.01.16,Christopher Ross,23/05/2016 14:22,1/6/16 0:00,1/7/16 0:00,21/06/2016 14:01,1446.53,1446.53,0
Bank Charges 10th April to 9th May 2016,Luis Jackson,9/3/15 15:24,9/3/15 0:00,8/4/15 0:00,13/03/2015 18:40,400.79,400.79,0
Bank Charges 10th Dec to 9th Jan 2017,David Martin,1/10/15 13:52,1/10/15 0:00,31/10/2015 00:00,30/11/2015 15:37,50.8,50.8,0
Bank Charges 10th FEB17 to 9th MAR 2017,Jessica Ramsey,18/11/2015 09:42,18/11/2015 00:00,18/12/2015 00:00,30/11/2015 15:40,84.18,84.18,0
Bank charges 10th Jan 16 to 9th Feb 16,Stefanie Bryant,28/06/2015 16:49,30/06/2015 00:00,30/07/2015 00:00,11/7/15 15:24,2641.98,2641.98,0
Bank Charges 10th Jan to 9th Feb 2017,Jessica Ramsey,15/09/2015 13:23,15/09/2015 00:00,15/10/2015 00:00,12/10/15 15:27,6061.98,6061.98,0
Bank Charges 10th July to 9th Aug 2016,Jessica Ramsey,29/10/2015 11:57,13/10/2015 00:00,12/11/15 0:00,30/11/2015 15:40,34.98,34.98,0
Bank Charges 10th MAR17 to 9th APR 2017,David Martin,2/9/15 15:01,2/9/15 0:00,28/09/2015 00:00,30/11/2015 15:38,51.77,51.77,0
Bank Charges 10th May to 9th June 2016,Jessica Ramsey,1/11/15 21:48,1/11/15 0:00,1/12/15 0:00,30/11/2015 15:40,55.98,55.98,0
Bank Charges 10th Nov to 9th Dec 2016,Jessica Ramsey,13/10/2015 07:38,1/10/15 0:00,31/10/2015 00:00,30/11/2015 15:35,10081.98,10081.98,0
Bank Charges 10th Oct to 9th Nov 2016,Collin Barrera,26/01/2015 13:25,26/01/2015 00:00,25/02/2015 00:00,26/02/2015 13:26,37.8,37.8,0
Bank Charges 10th Sept to 9th Oct 2016,Jessica Ramsey,22/10/2015 12:38,22/10/2015 00:00,21/11/2015 00:00,30/11/2015 15:40,1521.78,1521.78,0
Bank Service charges 10.12.15 to 9.1.16,Jessica Ramsey,30/07/2015 09:36,30/07/2015 00:00,29/08/2015 00:00,28/09/2015 09:18,601.98,601.98,0
